date,closing,adjusted,evolution,quantity,volume
25/05/2022,46000,46000,-213,5651,26019764
24/05/2022,47000,47000,-105,467,21962265
23/05/2022,47500,47500,000,219,10562915
20/05/2022,47500,47500,-306,1138,5431191
19/05/2022,49000,49000,000,471,230870
18/05/2022,49000,49000,000,325,1584082
17/05/2022,49000,49000,426,69483,3404662335
16/05/2022,47000,47000,-210,2250,10591726
13/05/2022,48010,48010,-340,1676,8059861
12/05/2022,49700,49700,-039,13,641695
11/05/2022,49895,49895,245,3696,180743785
10/05/2022,48700,48700,-598,3962,19902666
09/05/2022,51800,51800,105,751,392967
06/05/2022,51260,51260,-600,7867,40361951
05/05/2022,54530,54530,-598,1161,6330933
04/05/2022,58000,58000,000,0,0
29/04/2022,58000,58000,-333,5486,3183725
28/04/2022,60000,60000,000,0,0
27/04/2022,60000,60000,000,267,1600968
26/04/2022,60000,60000,000,0,0
25/04/2022,60000,60000,084,416,249600
22/04/2022,59500,59500,000,28,16780
21/04/2022,59500,59500,-083,501,298095
20/04/2022,60000,60000,000,335,200825
19/04/2022,60000,60000,084,2,1200
18/04/2022,59500,59500,119,750,445800
15/04/2022,58800,58800,-034,23147,136104013
14/04/2022,59000,59000,-167,4734,2794881
13/04/2022,60000,60000,000,366,219600
12/04/2022,60000,60000,-164,2359,14154008
11/04/2022,61000,61000,133,21,127854
08/04/2022,60200,60200,-033,604,3636218
07/04/2022,60400,60400,-030,503,303776
06/04/2022,60580,60580,356,1,6058
05/04/2022,58500,58500,-168,816,479289
04/04/2022,59500,59500,-083,103,61283
01/04/2022,60000,60000,168,5123,30736976
31/03/2022,59010,59010,070,15402,90905676
30/03/2022,58600,58600,-314,49401,291464119
29/03/2022,60500,60500,000,35,21175
28/03/2022,60500,60500,342,333,1922708
25/03/2022,58500,58500,-410,734,4310743
24/03/2022,61000,61000,000,513,315430
23/03/2022,61000,61000,-081,179,109235
22/03/2022,61500,61500,000,130,80300
21/03/2022,61500,61500,000,0,0
18/03/2022,61500,61500,-391,239,146985
17/03/2022,64000,64000,159,10,6400
16/03/2022,63000,63000,211,150,94111
15/03/2022,61700,61700,198,7,4319
14/03/2022,60500,60500,000,18,110649
11/03/2022,60500,60500,-082,345,209295
10/03/2022,61000,61000,-081,165,1006843
09/03/2022,61500,61500,441,13,7847
08/03/2022,58900,58900,-126,8,4712
07/03/2022,59650,59650,-008,51,302031
04/03/2022,59700,59700,-067,3375,2028215
03/03/2022,60100,60100,-297,353,2126783
02/03/2022,61940,61940,221,173,1071832
01/03/2022,60600,60600,083,228,1383454
28/02/2022,60100,60100,-148,850,518781
25/02/2022,61000,61000,-083,20164,12299434
24/02/2022,61510,61510,-079,350,2165355
23/02/2022,62000,62000,000,656,407270
22/02/2022,62000,62000,-159,3360,20872232
21/02/2022,63000,63000,-156,3279,2068013
18/02/2022,64000,64000,000,0,0
17/02/2022,64000,64000,000,6851,43203337
16/02/2022,64000,64000,047,3520,2252775
15/02/2022,63700,63700,-031,7848,4999227
14/02/2022,63900,63900,-016,252,1612435
11/02/2022,64000,64000,000,5893,37715488
10/02/2022,64000,64000,-154,165,105810
09/02/2022,65000,65000,156,103,66950
08/02/2022,64000,64000,000,0,0
07/02/2022,64000,64000,000,0,0
04/02/2022,64000,64000,000,2030,12992755
03/02/2022,64000,64000,000,123,78720
02/02/2022,64000,64000,-154,1155,742403
01/02/2022,65000,65000,-076,486,3154535
31/01/2022,65500,65500,-106,407,266585
28/01/2022,66200,66200,000,7225,4782950
27/01/2022,66200,66200,000,0,0
26/01/2022,66200,66200,-090,2161,1437236
25/01/2022,66800,66800,091,1210,8070041
24/01/2022,66200,66200,000,0,0
21/01/2022,66200,66200,000,327,216474
20/01/2022,66200,66200,-015,5750,3806530
19/01/2022,66300,66300,015,5,3315
18/01/2022,66200,66200,000,8558,56698335
17/01/2022,66200,66200,062,4032,2669063
14/01/2022,65790,65790,122,1788,11763252
13/01/2022,65000,65000,156,5018,32615434
12/01/2022,64000,64000,000,0,0
10/01/2022,64000,64000,-274,26,16640
07/01/2022,65800,65800,139,1029,6768391
06/01/2022,64900,64900,220,96,623067
05/01/2022,63500,63500,063,1270,806450
04/01/2022,63100,63100,000,0,0
03/01/2022,63100,63100,-247,3000,1893000
31/12/2021,64700,64700,109,12915,8340999
30/12/2021,64000,64000,000,15,9600
29/12/2021,64000,64000,000,1060,6615944
28/12/2021,64000,64000,284,50,319991
27/12/2021,62230,62230,000,200,1246169
