date,closing,adjusted,evolution,quantity,volume
16/11/2021,48110,48110,-070,7827,37749456
15/11/2021,48450,48450,-072,7643,37030335
12/11/2021,48800,48800,000,27414,133899062
11/11/2021,48800,48800,-041,16265,79416064
10/11/2021,49000,49000,-021,9020,442125405
09/11/2021,49105,49105,011,3625,17800536
08/11/2021,49050,49050,000,229,1140988
05/11/2021,49050,49050,-121,32899,161646214
04/11/2021,49650,49650,-050,23166,115192591
03/11/2021,49900,49900,008,29926,149500898
02/11/2021,49860,49860,029,8544,42593827
01/11/2021,49715,49715,143,28016,139113272
29/10/2021,49015,49015,-332,97762,483731774
28/10/2021,50700,50700,040,91724,463701775
27/10/2021,50500,50500,-098,40656,205303661
26/10/2021,51000,51000,241,119111,598726067
25/10/2021,49800,49800,061,29375,14608432
22/10/2021,49500,49500,-001,26811,13235876
21/10/2021,49505,49505,001,14259,705765425
18/10/2021,49500,49500,051,4504,222143325
15/10/2021,49250,49250,-040,51218,25212928
14/10/2021,49450,49450,090,68549,33669083
13/10/2021,49010,49010,022,27634,135103276
12/10/2021,48900,48900,000,10,4890
11/10/2021,48900,48900,-121,15362,75169815
08/10/2021,49500,49500,182,35308,1738155085
07/10/2021,48615,48615,003,37632,1829451755
06/10/2021,48600,48600,-032,30889,1502310025
05/10/2021,48755,48755,-050,4924,240689845
04/10/2021,49000,49000,-039,15956,77962019
01/10/2021,49190,49190,-063,38857,1901741665
30/09/2021,49500,49500,020,12023,594927365
29/09/2021,49400,49400,041,30012,14705884
28/09/2021,49200,49200,051,12082,5914331
27/09/2021,48950,48950,031,37313,1815481105
24/09/2021,48800,48800,000,128719,633177181
23/09/2021,48800,48800,165,49697,24109580
22/09/2021,48010,48010,002,31155,149549449
21/09/2021,48000,48000,031,32308,15465075
20/09/2021,47850,47850,-130,84056,40218815
17/09/2021,48480,48480,162,28341,1366387005
16/09/2021,47705,47705,001,18622,88629078
15/09/2021,47700,47700,010,18953,90025296
14/09/2021,47650,47650,031,18300,86961566
13/09/2021,47505,47505,001,28373,134745695
10/09/2021,47500,47500,-186,56054,2673539495
09/09/2021,48400,48400,254,209210,10041066415
08/09/2021,47200,47200,037,20616,97294884
07/09/2021,47025,47025,-037,11609,5460996
06/09/2021,47200,47200,-041,23042,1084650115
03/09/2021,47395,47395,127,29639,1399995615
02/09/2021,46800,46800,-021,3207,1500808
01/09/2021,46900,46900,-021,6688,3136432
31/08/2021,47000,47000,-167,61951,291447792
30/08/2021,47800,47800,042,13032,6245179
27/08/2021,47600,47600,128,43516,205879839
26/08/2021,47000,47000,064,46863,219894383
25/08/2021,46700,46700,-064,2687,125385695
24/08/2021,47000,47000,000,7326,34388814
23/08/2021,47000,47000,105,20888,97431871
19/08/2021,46510,46510,-041,11399,532550505
18/08/2021,46700,46700,-019,30241,14122498
17/08/2021,46790,46790,-002,12337,5756925
16/08/2021,46800,46800,-021,13662,6389673
13/08/2021,46900,46900,085,53719,249859773
12/08/2021,46505,46505,-063,10135,4713265
11/08/2021,46800,46800,130,55664,260462166
09/08/2021,46200,46200,-065,210,96892
06/08/2021,46500,46500,022,93624,4351190865
05/08/2021,46400,46400,075,25258,1170885575
04/08/2021,46055,46055,012,12073,55565323
03/08/2021,46000,46000,-086,78653,364939537
02/08/2021,46400,46400,311,20400,94245627
29/07/2021,45000,45000,142,2645,1189734
28/07/2021,44370,44370,-035,5302,2343432
27/07/2021,44525,44525,058,46069,204751407
26/07/2021,44270,44270,005,1849,8178804
23/07/2021,44250,44250,057,17198,76056045
20/07/2021,44000,44000,-059,13006,5741008
19/07/2021,44260,44260,011,14270,63151597
16/07/2021,44210,44210,024,33336,1471933465
15/07/2021,44105,44105,010,33644,148269436
14/07/2021,44060,44060,-009,34700,152899089
13/07/2021,44100,44100,-090,4116,1818320
12/07/2021,44500,44500,-016,15557,69065907
09/07/2021,44570,44570,017,36688,1630256535
08/07/2021,44495,44495,-024,11705,521505295
07/07/2021,44600,44600,136,28878,12817712
06/07/2021,44000,44000,-045,18215,80254704
05/07/2021,44200,44200,-156,46926,2101620135
02/07/2021,46000,46000,-043,38037,17481334
01/07/2021,46200,46200,065,98438,455292103
30/06/2021,45900,45900,-017,1489064,6835366406
29/06/2021,45980,45980,-026,13822,63609436
28/06/2021,46100,46100,022,845,3874343
25/06/2021,46000,46000,-022,270719,12479900095
24/06/2021,46100,46100,-043,23385,1081868955
23/06/2021,46300,46300,-032,5397,25021755
22/06/2021,46450,46450,000,36920,1715366905
21/06/2021,46450,46450,052,8293,38430175
18/06/2021,46210,46210,017,58081,268027421
17/06/2021,46130,46130,000,16505,76123234
16/06/2021,46130,46130,-055,54584,251923617
15/06/2021,46385,46385,-067,71708,334853196
14/06/2021,46700,46700,095,33845,157696349
11/06/2021,46260,46260,-033,56160,25947591
10/06/2021,46415,46415,047,46444,215273448
09/06/2021,46200,46200,-065,126301,5870735985
08/06/2021,46500,46500,043,40595,18875730
07/06/2021,46300,46300,011,8278,383512805
04/06/2021,46250,46250,-055,33478,155785435
03/06/2021,46505,46505,121,39796,184078513
02/06/2021,45950,45950,-004,20334,930181085
01/06/2021,45970,45970,126,24567,112069874
31/05/2021,45400,45400,-085,5714,25916325
28/05/2021,45790,45790,117,62248,281923097
27/05/2021,45260,45260,-053,39041,176580433
26/05/2021,45500,45500,083,669,3021912
25/05/2021,45125,45125,-095,7190,325406305
24/05/2021,45560,45560,-009,13707,62465976
21/05/2021,45600,45600,111,23970,109027492
20/05/2021,45100,45100,-222,26216,119217222
19/05/2021,46125,46125,115,26673,123073706
18/05/2021,45600,45600,042,19558,89075823
17/05/2021,45410,45410,180,165992,7495069055
12/05/2021,44605,44605,012,65587,292258076
11/05/2021,44550,44550,-036,21918,97570825
10/05/2021,44710,44710,006,14441,645157655
07/05/2021,44685,44685,040,85475,3811048165
06/05/2021,44505,44505,132,64312,285400546
05/05/2021,43925,43925,075,27954,122735353
04/05/2021,43600,43600,045,56788,24754686
03/05/2021,43405,43405,094,66430,2873606345
30/04/2021,43000,43000,035,52941,22755681
29/04/2021,42850,42850,-012,25478,109322635
28/04/2021,42900,42900,023,44641,191319963
27/04/2021,42800,42800,-023,19965,854428105
26/04/2021,42900,42900,-021,71377,3060069035
23/04/2021,42990,42990,092,22300,953001805
22/04/2021,42600,42600,000,3232,13771573
21/04/2021,42600,42600,-070,80512,34329314
20/04/2021,42900,42900,070,46766,20040415
19/04/2021,42600,42600,-023,20745,8857950
16/04/2021,42700,42700,071,37097,158298648
15/04/2021,42400,42400,-047,302,1278742
14/04/2021,42600,42600,024,21509,915618795
13/04/2021,42500,42500,-116,2512,10677196
12/04/2021,43000,43000,118,3150,135214125
09/04/2021,42500,42500,024,11761,49859627
08/04/2021,42400,42400,-024,11257,476209375
07/04/2021,42500,42500,000,5535,235229415
06/04/2021,42500,42500,-047,20672,88002798
05/04/2021,42700,42700,-091,15042,6415212
02/04/2021,43090,43090,021,8869,3812982
01/04/2021,43000,43000,205,68078,292113651
31/03/2021,42135,42135,-109,10934,46069059
30/03/2021,42600,42600,143,8485,35831516
29/03/2021,42000,42000,000,50786,21330120
26/03/2021,42000,42000,048,65869,276578136
25/03/2021,41800,41800,059,16501,68573996
24/03/2021,41555,41555,013,3460,14361824
23/03/2021,41500,41500,-072,40782,1694910405
22/03/2021,41800,41800,-021,15332,639989465
19/03/2021,41890,41890,093,19766,82801414
18/03/2021,41505,41505,-188,138769,5798861905
17/03/2021,42300,42300,049,65428,276603151
16/03/2021,42095,42095,056,19022,796271635
15/03/2021,41860,41860,-057,2744,11491378
12/03/2021,42100,42100,043,36414,15330363
11/03/2021,41920,41920,-007,11227,47041484
10/03/2021,41950,41950,000,11280,47310675
09/03/2021,41950,41950,060,9465,3967803
08/03/2021,41700,41700,-048,15242,638367465
05/03/2021,41900,41900,000,17316,72574441
04/03/2021,41900,41900,-024,18606,77949303
03/03/2021,42000,42000,-026,22000,92614775
02/03/2021,42110,42110,-092,8050,34068266
01/03/2021,42500,42500,107,92,387509
26/02/2021,42050,42050,060,95550,403624315
25/02/2021,41800,41800,072,32179,1328058255
24/02/2021,41500,41500,-120,46453,1910544725
23/02/2021,42005,42005,-107,12064,50743605
22/02/2021,42460,42460,-023,22656,962861035
19/02/2021,42560,42560,-095,12843,54669083
18/02/2021,42970,42970,108,786,3374939
17/02/2021,42510,42510,-082,80625,3465495855
16/02/2021,42860,42860,082,2061,8833453
15/02/2021,42510,42510,-065,7477,3179133
12/02/2021,42790,42790,033,5359,22965873
11/02/2021,42650,42650,083,23747,100117025
10/02/2021,42300,42300,-186,32189,1364357485
09/02/2021,43100,43100,-060,123280,53450594
08/02/2021,43360,43360,-021,52013,225551684
05/02/2021,43450,43450,-038,18588,80807682
04/02/2021,43615,43615,-065,5420,23664004
03/02/2021,43900,43900,-023,17399,76535955
02/02/2021,44000,44000,047,21062,92502361
01/02/2021,43795,43795,042,11877,51786303
29/01/2021,43610,43610,009,35035,153246017
28/01/2021,43570,43570,-120,14482,63167353
27/01/2021,44100,44100,-023,14150,62531795
26/01/2021,44200,44200,-067,38914,172836721
25/01/2021,44500,44500,183,36766,1630066935
22/01/2021,43700,43700,040,50272,21918361
21/01/2021,43525,43525,029,60504,26298234
20/01/2021,43400,43400,000,21232,92134539
19/01/2021,43400,43400,-069,46692,2025588955
18/01/2021,43700,43700,115,70291,3059102475
15/01/2021,43205,43205,117,88748,3827555415
14/01/2021,42705,42705,072,46335,1971913945
13/01/2021,42400,42400,001,7501,31713404
12/01/2021,42395,42395,094,71608,303246114
08/01/2021,42000,42000,-094,27701,117126874
07/01/2021,42400,42400,095,63979,271250081
06/01/2021,42000,42000,-094,18492,776547195
05/01/2021,42400,42400,018,4431,18792148
04/01/2021,43000,43000,159,28469,121554472
31/12/2020,42325,42325,000,18788,79540508
30/12/2020,43000,43000,000,107233,462258865
29/12/2020,43000,43000,023,56366,2420766975
28/12/2020,42900,42900,047,647024,2788323314
25/12/2020,42700,42700,-023,86808,37064037
24/12/2020,42800,42800,-095,59923,257226819
23/12/2020,43210,43210,073,32194,1391264165
22/12/2020,42895,42895,224,143388,606288494
21/12/2020,41955,41955,-399,81203,341406349
18/12/2020,43700,43700,-067,67766,297520661
17/12/2020,43995,43995,091,55847,24561208
16/12/2020,43600,43600,232,97916,423277738
15/12/2020,42610,42610,025,56552,240967975
14/12/2020,42505,42505,-048,27830,1186391745
11/12/2020,42710,42710,292,140960,5991641065
10/12/2020,41500,41500,-069,18860,7866824
09/12/2020,41790,41790,060,143549,6027199465
08/12/2020,41540,41540,083,10192,42321831
07/12/2020,41200,41200,050,3399,140041125
04/12/2020,40995,40995,072,23564,965178135
03/12/2020,40700,40700,035,132896,543294138
02/12/2020,40560,40560,-010,81542,3306594515
01/12/2020,40600,40600,-098,3751,152311345
30/11/2020,41000,41000,174,98047,400255239
27/11/2020,40300,40300,-171,13936,564324265
26/11/2020,41000,41000,-168,9095,376081375
25/11/2020,41700,41700,148,109681,454688529
24/11/2020,41090,41090,106,22626,92925116
23/11/2020,40660,40660,-002,8029,32933165
20/11/2020,40670,40670,299,162436,6626262375
19/11/2020,39490,39490,-028,44771,1776056965
17/11/2020,39600,39600,023,48921,1947581965
16/11/2020,39510,39510,131,96423,3804191585
13/11/2020,39000,39000,127,100639,3919164565
12/11/2020,38510,38510,003,20062,770794995
11/11/2020,38500,38500,-052,20417,78539375
10/11/2020,38700,38700,052,64383,2505658595
09/11/2020,38500,38500,252,129195,495079123
05/11/2020,37555,37555,005,9280,34832149
04/11/2020,37535,37535,-017,25506,9574530
03/11/2020,37600,37600,005,27072,101754933
02/11/2020,37580,37580,-058,10886,408549075
28/10/2020,37800,37800,-007,52207,197241328
27/10/2020,37825,37825,007,16104,60993189
26/10/2020,37800,37800,-051,4392,166491175
23/10/2020,37995,37995,077,33647,127744633
22/10/2020,37705,37705,055,21921,826906305
21/10/2020,37500,37500,108,2977,111550125
20/10/2020,37100,37100,009,2541,94118285
19/10/2020,37065,37065,-090,16507,61280337
16/10/2020,37400,37400,-132,29581,11078568
15/10/2020,37900,37900,-146,44265,1682958565
14/10/2020,38460,38460,336,86646,3301175955
13/10/2020,37210,37210,125,18168,672947985
12/10/2020,36750,36750,016,1008,37295625
09/10/2020,36690,36690,-084,680698,2498839289
08/10/2020,37000,37000,-040,3534,13078954
07/10/2020,37150,37150,068,59496,220439881
06/10/2020,36900,36900,216,57681,209097897
05/10/2020,36120,36120,132,66877,240167745
02/10/2020,35650,35650,-014,5411,192651365
01/10/2020,35700,35700,-020,25037,8938209
30/09/2020,35770,35770,119,614,2192358
29/09/2020,35350,35350,-042,5406,1913236
28/09/2020,35500,35500,085,515,182330
25/09/2020,35200,35200,057,18000,6333774
24/09/2020,35000,35000,-274,94702,332058027
23/09/2020,35985,35985,-004,31748,11428476
22/09/2020,36000,36000,000,27199,9791620
21/09/2020,36000,36000,053,21305,7669806
18/09/2020,35810,35810,084,13150,4708713
17/09/2020,35510,35510,-048,9353,33227887
16/09/2020,35680,35680,-086,10052,35921992
15/09/2020,35990,35990,-167,26482,9541252
14/09/2020,36600,36600,-107,42182,15491932
11/09/2020,36995,36995,053,49064,1814725275
10/09/2020,36800,36800,110,29489,108301276
09/09/2020,36400,36400,023,1151,4185095
08/09/2020,36315,36315,-159,1157,42033465
07/09/2020,36900,36900,114,1826,6716315
04/09/2020,36485,36485,-112,22262,817023195
03/09/2020,36900,36900,024,942,34577975
02/09/2020,36810,36810,-075,9571,35354461
01/09/2020,37090,37090,400,23566,8727438
31/08/2020,35665,35665,041,47210,1677624385
28/08/2020,35520,35520,-136,65137,2311829555
27/08/2020,36010,36010,-322,34987,1265539215
26/08/2020,37210,37210,-077,5798,2160540
25/08/2020,37500,37500,-095,22058,82751583
24/08/2020,37860,37860,-128,28081,106633295
19/08/2020,38350,38350,-026,3624,13896752
18/08/2020,38450,38450,-013,2969,114226715
17/08/2020,38500,38500,-054,23691,91142827
13/08/2020,38710,38710,-049,30831,11975152
12/08/2020,38900,38900,206,41767,1603980525
11/08/2020,38115,38115,004,56510,215819677
10/08/2020,38100,38100,133,18380,699287055
07/08/2020,37600,37600,031,22183,832069605
06/08/2020,37485,37485,098,8852,3316377
05/08/2020,37120,37120,032,15358,569682375
04/08/2020,37000,37000,134,18617,68661326
03/08/2020,36510,36510,-106,21831,80109555
29/07/2020,36900,36900,-024,48616,1787605665
28/07/2020,36990,36990,218,8849,32441711
27/07/2020,36200,36200,112,72442,2599863935
24/07/2020,35800,35800,070,41886,149912006
23/07/2020,35550,35550,014,11160,39689531
22/07/2020,35500,35500,-084,7674,27252005
21/07/2020,35800,35800,000,7607,272280275
20/07/2020,35800,35800,085,3110,1106292
17/07/2020,35500,35500,-056,3011,1070924
16/07/2020,35700,35700,054,23036,82242833
15/07/2020,35510,35510,059,11809,41917022
14/07/2020,35300,35300,043,111860,3939039595
13/07/2020,35150,35150,-014,438,15484715
10/07/2020,35200,35200,026,16362,57661908
09/07/2020,35110,35110,003,275,965641
08/07/2020,35100,35100,-003,1761,619610
07/07/2020,35110,35110,-040,59679,209120749
06/07/2020,35250,35250,-072,12455,43844041
03/07/2020,35505,35505,-055,20588,732560155
02/07/2020,35700,35700,000,6048,2157091
01/07/2020,35700,35700,028,6276,22373578
30/06/2020,35600,35600,140,173969,61657660
29/06/2020,35110,35110,029,17282,610554475
26/06/2020,35010,35010,-139,65370,2304902195
25/06/2020,35505,35505,-055,37859,1350802625
24/06/2020,35700,35700,-146,31395,1122757395
23/06/2020,36230,36230,-045,4704,170539825
22/06/2020,36395,36395,-001,5878,213852365
