date,closing,adjusted,evolution,quantity,volume
14/07/2022,18200,17922,-082,3528,6435453
13/07/2022,18750,18464,135,60,11250
12/07/2022,18500,18217,000,5552,1027120
08/07/2022,18500,18217,000,11082,20498016
07/07/2022,18500,18217,-199,29442,5446773
06/07/2022,18875,18587,203,2,3775
05/07/2022,18500,18217,000,4257,7880031
04/07/2022,18500,18217,000,55,101755
01/07/2022,18500,18217,-107,12034,222636095
30/06/2022,18700,18414,-106,26863,50234015
29/06/2022,18900,18611,-207,919111,17371195555
28/06/2022,19300,19005,321,177798,33604095
27/06/2022,18700,18414,000,265,496165
24/06/2022,18700,18414,000,20133,3764851
23/06/2022,18700,18414,-053,13470,2519696
22/06/2022,18800,18513,-053,7217,13568225
21/06/2022,18900,18611,000,65748,12426372
20/06/2022,18900,18611,053,1276,2420102
17/06/2022,18800,18513,-157,30510,5777819
16/06/2022,19100,18808,-052,6328,1208648
15/06/2022,19200,18907,-005,81105,15572038
14/06/2022,19210,18917,-047,7529,1446588
13/06/2022,19300,19005,000,1394,2686646
10/06/2022,19300,19005,-103,2289,4417734
09/06/2022,19500,19202,000,12121,236324725
08/06/2022,19500,19202,-003,129,25155
07/06/2022,19505,19207,104,27822,5426214
06/06/2022,19305,19010,-100,702,1358711
03/06/2022,19500,19202,003,137408,266945597
02/06/2022,19495,19197,207,846,16172725
01/06/2022,19100,18808,-005,14003,267555645
31/05/2022,19110,18818,000,14490,2769871
30/05/2022,19110,18818,005,48898,9339818
27/05/2022,19100,18808,-155,18436,3521280
26/05/2022,19400,19104,052,270,52380
25/05/2022,19300,19005,-052,518,999561
24/05/2022,19400,19104,-102,14601,2829533
23/05/2022,19600,19301,155,1368,2652233
20/05/2022,19300,19005,-103,26550,5124855
19/05/2022,19500,19202,000,1747,340594
18/05/2022,19500,19202,000,1005,195975
17/05/2022,19500,19202,-152,1160,227204
16/05/2022,19800,19497,013,38,7500
13/05/2022,19775,19473,246,2,3955
12/05/2022,19300,19005,-103,1621,31296985
11/05/2022,19500,19202,000,1427,27745595
10/05/2022,19500,19202,-250,18666,364485375
09/05/2022,20000,19694,000,58,115254
06/05/2022,20000,19694,000,8662,17333638
05/05/2022,20000,19694,000,575,1150128
04/05/2022,20000,19694,-025,270,54385
29/04/2022,20050,19744,-025,10000,2005000
28/04/2022,20100,19793,000,69,13826
27/04/2022,20100,19793,047,13675,2748000
26/04/2022,20005,19699,-047,14031,28151398
25/04/2022,20100,19793,047,5102,10255099
22/04/2022,20005,19699,003,1830,3697265
21/04/2022,20000,19694,000,50,10000
20/04/2022,20000,19694,000,1450,3014075
19/04/2022,20000,19694,000,1001,1972142
18/04/2022,20000,19694,000,10115,2013309
15/04/2022,20000,19694,-027,20570,41132821
14/04/2022,20055,19749,000,1468,29371575
13/04/2022,20055,19749,053,518,10359205
12/04/2022,19950,19645,-025,1876,374197
11/04/2022,20000,19694,-002,705,1407342
08/04/2022,20005,19699,003,18896,37800114
07/04/2022,20000,19694,000,17304,3460791
06/04/2022,20000,19694,-094,25118,50236038
05/04/2022,20190,19882,095,1336,2640509
04/04/2022,20000,19694,050,6015,1202910
01/04/2022,19900,19596,000,71117,141551016
31/03/2022,19900,19596,000,61261,1219125365
30/03/2022,19900,19596,153,1897,376633
29/03/2022,19600,19301,-200,23030,452410925
28/03/2022,20000,19694,127,6519,129776055
25/03/2022,19750,19448,077,23360,46137136
24/03/2022,19600,19301,-051,52829,10379400
23/03/2022,19700,19399,-150,26145,51521098
22/03/2022,20000,19694,000,3276,6561505
21/03/2022,20000,19694,000,640,127371
18/03/2022,20000,19694,-099,11311,22739255
17/03/2022,20200,19891,100,8581,17329184
16/03/2022,20000,19694,000,5031,10022274
15/03/2022,20000,19694,178,765,15162215
14/03/2022,19650,19350,077,468,92093
11/03/2022,19500,19202,-102,81461,1625964545
10/03/2022,19700,19399,-150,5072,9994056
09/03/2022,20000,19694,152,1196,23877775
08/03/2022,19700,19399,155,4887,95535345
07/03/2022,19400,19104,-300,5772,1121874
04/03/2022,20000,19694,000,56043,111953635
03/03/2022,20000,19694,-104,351,7010195
02/03/2022,20210,19901,105,9023,18038629
01/03/2022,20000,19694,000,1463,29173575
28/02/2022,20000,19694,-074,1242,2494024
25/02/2022,20150,19842,177,17585,354164425
24/02/2022,19800,19497,-571,65866,13240107
23/02/2022,21000,20679,169,1492,30840885
22/02/2022,20650,20335,-024,23458,476347885
21/02/2022,20700,20384,000,768,1583182
18/02/2022,20700,20384,022,6902,143287055
17/02/2022,20655,20339,-211,12476,261929675
16/02/2022,21100,20778,-057,60741,128909139
15/02/2022,21220,20896,-266,25709,54626535
14/02/2022,21800,21467,-091,971,212198
11/02/2022,22000,21664,-135,15595,3444839
10/02/2022,22300,21959,000,5729,127528035
09/02/2022,22300,21959,000,1061,236874
08/02/2022,22300,21959,136,26911,6001746
07/02/2022,22000,21664,092,17227,377685685
04/02/2022,21800,21467,093,3189,691198
03/02/2022,21600,21270,098,5555,11926975
02/02/2022,21390,21063,333,3047,648781
01/02/2022,20700,20384,-414,30373,64204764
31/01/2022,21595,21265,547,35177,76041654
28/01/2022,20475,20162,598,177792,3601266055
27/01/2022,19320,19025,010,275,5408975
26/01/2022,19300,19005,-003,723,13948935
25/01/2022,19305,19010,-125,5775,11145547
24/01/2022,19550,19251,000,519,102527
21/01/2022,19550,19251,039,106380,20783438
20/01/2022,19475,19177,091,1015254,1969449395
19/01/2022,19300,19005,013,21187,40752413
18/01/2022,19275,18981,-115,16031,312469815
17/01/2022,19500,19202,-152,50487,98447473
14/01/2022,19800,19497,507,63576,124100923
13/01/2022,18845,18557,024,645,12130095
12/01/2022,18800,18513,000,596,1120525
10/01/2022,18800,18513,-045,587,1093597
07/01/2022,18885,18596,099,384,712961
06/01/2022,18700,18414,000,0,0
05/01/2022,18700,18414,054,450,84105
04/01/2022,18600,18316,-106,1510,280850
03/01/2022,18800,18513,000,0,0
31/12/2021,18800,18513,000,114519,21510072
30/12/2021,18800,18513,000,7800,1464700
29/12/2021,18800,18513,-027,290425,54599900
28/12/2021,18850,18562,134,7150,1331325
27/12/2021,18600,18316,-008,6891,128141095
24/12/2021,18615,18331,005,5465,101705775
23/12/2021,18605,18321,000,11000,2046500
22/12/2021,18605,18321,-104,6250,11627615
21/12/2021,18800,18513,108,15732,2926592
20/12/2021,18600,18316,000,2086,388494
17/12/2021,18600,18316,000,4735,880710
16/12/2021,18600,18316,-053,600,111619
15/12/2021,18700,18414,-051,1301,24448865
14/12/2021,18795,18508,102,2526,472491
13/12/2021,18605,18321,-051,151803,282353746
10/12/2021,18700,18414,051,23540,4399364
09/12/2021,18605,18321,003,16099,30010147
08/12/2021,18600,18316,000,11097,2064053
07/12/2021,18600,18316,000,14030,2609580
06/12/2021,18600,18316,000,7892,1466008
03/12/2021,18600,18316,-080,22014,4094619
02/12/2021,18750,18464,135,1246,230906
01/12/2021,18500,18217,049,10001,1850187
30/11/2021,18410,18129,-049,47660,8773093
29/11/2021,18500,18217,-160,1603,296464
26/11/2021,18800,18513,157,24553,4615964
25/11/2021,18510,18227,-096,120,22222
24/11/2021,18690,18404,048,36759,68427517
23/11/2021,18600,18316,-125,71036,1320297095
22/11/2021,18835,18547,126,5861,10893864
19/11/2021,18600,18316,000,7500,1395250
17/11/2021,18600,18316,000,72551,1349447995
16/11/2021,18600,18316,000,31928,5938608
15/11/2021,18600,18316,000,1850,344100
12/11/2021,18600,18316,027,3287,61130245
11/11/2021,18550,18267,-027,755,140443
10/11/2021,18600,18316,-104,801,149007
09/11/2021,18795,18508,-105,35,65616
08/11/2021,18995,18705,240,250,4741895
05/11/2021,18550,18267,-027,5096,945526
04/11/2021,18600,18316,000,1743,32348855
03/11/2021,18600,18316,-053,4345,807817
02/11/2021,18700,18414,054,276821,51491706
01/11/2021,18600,18316,000,9304,173056545
29/10/2021,18600,18316,136,2215510,40876683255
28/10/2021,18350,18070,000,21001,38504167
27/10/2021,18350,18070,166,26085,47864577
26/10/2021,18050,17774,227,42027,75345422
25/10/2021,17650,17380,051,19652,346252715
22/10/2021,17560,17292,006,11272,19763495
21/10/2021,17550,17282,029,30841,53973635
18/10/2021,17500,17233,000,22213,3886913
15/10/2021,17500,17233,000,30167,525814465
14/10/2021,17500,17233,000,15088,26398404
13/10/2021,17500,17233,029,2456,4276162
12/10/2021,17450,17183,000,0,0
11/10/2021,17450,17183,-085,9976,17409111
08/10/2021,17600,17331,000,6742,1186592
07/10/2021,17600,17331,000,0,0
06/10/2021,17600,17331,057,4809,8380036
05/10/2021,17500,17233,000,1156,202300
04/10/2021,17500,17233,000,20852,361992805
01/10/2021,17500,17233,-057,22960,401597975
30/09/2021,17600,17331,057,122152,213309508
29/09/2021,17500,17233,-051,42633,744750505
28/09/2021,17590,17321,-003,652,1145221
27/09/2021,17595,17326,054,23073,40191113
24/09/2021,17500,17233,057,43400,7574071
23/09/2021,17400,17134,-057,94988,16574542
22/09/2021,17500,17233,000,35669,6241797
21/09/2021,17500,17233,000,470,81867
20/09/2021,17500,17233,055,3170,5547667
17/09/2021,17405,17139,000,24428,42659588
16/09/2021,17405,17139,-054,15024,26170257
15/09/2021,17500,17233,-113,8322,1460660
14/09/2021,17700,17430,000,210,371645
13/09/2021,17700,17430,000,663,1160406
10/09/2021,17700,17430,057,2420,42493705
09/09/2021,17600,17331,115,80571,141753995
08/09/2021,17400,17134,-029,5484,9542363
07/09/2021,17450,17183,-029,6214,1084236
06/09/2021,17500,17233,032,2260,3977885
03/09/2021,17445,17178,-031,8300,14475875
02/09/2021,17500,17233,011,14,2444
01/09/2021,17480,17213,046,3700,646760
31/08/2021,17400,17134,-057,5853,1018422
