date,closing,adjusted,evolution,quantity,volume
05/08/2022,30800,30800,-128,188,57914
04/08/2022,31200,31200,000,0,0
03/08/2022,31200,31200,000,0,0
02/08/2022,31200,31200,000,0,0
01/08/2022,31200,31200,-095,550,17120785
29/07/2022,31500,31500,161,204,64248
28/07/2022,31000,31000,000,0,0
27/07/2022,31000,31000,000,240,74480
26/07/2022,31000,31000,000,0,0
25/07/2022,31000,31000,000,0,0
22/07/2022,31000,31000,262,1596,496110
21/07/2022,30210,30210,-192,120,362683
20/07/2022,30800,30800,000,1485,457580
19/07/2022,30800,30800,-065,202,62222
18/07/2022,31000,31000,000,5001,15426564
15/07/2022,31000,31000,187,3000,930000
14/07/2022,30430,30430,010,70,214781
13/07/2022,30400,30400,-194,10050,3055265
12/07/2022,31000,31000,000,0,0
08/07/2022,31000,31000,-088,15,4650
07/07/2022,31275,31275,187,5,156375
06/07/2022,30700,30700,066,8386,2519524
05/07/2022,30500,30500,-285,45,13725
04/07/2022,31395,31395,127,17,520995
01/07/2022,31000,31000,197,1026,318120
30/06/2022,31800,31800,-063,283,898916
29/06/2022,32000,32000,000,0,0
28/06/2022,32000,32000,000,9,2880
27/06/2022,32000,32000,000,0,0
24/06/2022,32000,32000,323,10470,32561241
23/06/2022,31000,31000,-328,55571,17424449
22/06/2022,32050,32050,-077,2304,7395835
21/06/2022,32300,32300,000,0,0
20/06/2022,32300,32300,000,2,646
17/06/2022,32300,32300,000,2197,704797
16/06/2022,32300,32300,-182,560099,179233518
15/06/2022,32900,32900,281,101,32329
14/06/2022,32000,32000,-418,1841,5897291
13/06/2022,33395,33395,-031,167,5433225
10/06/2022,33500,33500,000,1934,641390
09/06/2022,33500,33500,000,0,0
08/06/2022,33500,33500,152,20,6700
07/06/2022,33000,33000,-149,5679,1874380
06/06/2022,33500,33500,000,0,0
03/06/2022,33500,33500,404,2044,6737099
02/06/2022,32200,32200,000,0,0
01/06/2022,32200,32200,000,48,154565
31/05/2022,32200,32200,-225,375,1203245
30/05/2022,32940,32940,073,38,125202
27/05/2022,32700,32700,219,2295,7492452
26/05/2022,32000,32000,000,2452,75833685
25/05/2022,32000,32000,159,651,205845
24/05/2022,31500,31500,-156,1223,3883171
23/05/2022,32000,32000,-303,298,955759
20/05/2022,33000,33000,030,1870,611780
19/05/2022,32900,32900,-089,399,131699
18/05/2022,33195,33195,-002,1031,33414655
17/05/2022,33200,33200,-090,491,16295725
16/05/2022,33500,33500,000,0,0
13/05/2022,33500,33500,000,313,104860
12/05/2022,33500,33500,000,105,346857
11/05/2022,33500,33500,308,3,9975
10/05/2022,32500,32500,-356,6598,21651795
09/05/2022,33700,33700,-203,12,4044
06/05/2022,34400,34400,058,4,1376
05/05/2022,34200,34200,-070,10,3420
04/05/2022,34440,34440,129,2,6888
29/04/2022,34000,34000,-029,2966,1010406
28/04/2022,34100,34100,134,4,1364
27/04/2022,33650,33650,-246,150,50542
26/04/2022,34500,34500,-023,3577,1234065
25/04/2022,34580,34580,258,40,13832
22/04/2022,33710,33710,003,10,33714
21/04/2022,33700,33700,-232,1325,4465318
20/04/2022,34500,34500,000,2470,852150
19/04/2022,34500,34500,000,1790,6164514
18/04/2022,34500,34500,029,4600,158697395
15/04/2022,34400,34400,000,2350,808590
14/04/2022,34400,34400,000,0,0
13/04/2022,34400,34400,000,2869,986936
12/04/2022,34400,34400,000,83,28024
11/04/2022,34400,34400,000,100,34400
08/04/2022,34400,34400,-012,10014,3444810
07/04/2022,34440,34440,012,404,1388936
06/04/2022,34400,34400,058,15406,5307070
05/04/2022,34200,34200,-058,99,33858
04/04/2022,34400,34400,000,0,0
01/04/2022,34400,34400,000,0,0
31/03/2022,34400,34400,029,11038,37982723
30/03/2022,34300,34300,088,161,55223
29/03/2022,34000,34000,000,2940,9998995
28/03/2022,34000,34000,000,0,0
25/03/2022,34000,34000,226,3111,10406502
24/03/2022,33250,33250,076,3093,10284225
23/03/2022,33000,33000,-294,1835,605820
22/03/2022,34000,34000,-087,10208,3470723
21/03/2022,34300,34300,-058,3490,11945231
18/03/2022,34500,34500,086,2238,772065
17/03/2022,34205,34205,001,1706,583527
16/03/2022,34200,34200,059,500,171000
15/03/2022,34000,34000,-058,180,612272
14/03/2022,34200,34200,-087,50,172495
11/03/2022,34500,34500,117,5409,186109875
10/03/2022,34100,34100,000,7500,2557500
09/03/2022,34100,34100,029,13908,474517625
08/03/2022,34000,34000,-341,26597,902858505
07/03/2022,35200,35200,-085,109,38368
04/03/2022,35500,35500,028,3318,11744555
03/03/2022,35400,35400,000,0,0
02/03/2022,35400,35400,-028,154,54204
01/03/2022,35500,35500,-084,6,2130
28/02/2022,35800,35800,085,100,35800
25/02/2022,35500,35500,231,2609,920113
24/02/2022,34700,34700,-086,5561,189273385
23/02/2022,35000,35000,-028,5015,17552125
22/02/2022,35100,35100,-113,1205,42306725
21/02/2022,35500,35500,000,0,0
18/02/2022,35500,35500,172,10100,3535500
17/02/2022,34900,34900,029,1570,5471899
16/02/2022,34800,34800,-293,15,5220
15/02/2022,35850,35850,243,2,717
14/02/2022,35000,35000,-141,3906,13698829
11/02/2022,35500,35500,-095,416,147562
10/02/2022,35840,35840,237,452734,158458250
09/02/2022,35010,35010,118,1900,664640
08/02/2022,34600,34600,-114,200,69200
07/02/2022,35000,35000,000,10,3500
04/02/2022,35000,35000,000,5664,1982445
03/02/2022,35000,35000,000,136,47590
02/02/2022,35000,35000,101,1850,6465243
01/02/2022,34650,34650,043,28,97099
31/01/2022,34500,34500,-115,4,1380
28/01/2022,34900,34900,058,932,325104
27/01/2022,34700,34700,-057,2192,7602592
26/01/2022,34900,34900,-029,94,32246
25/01/2022,35000,35000,029,1355,473240
24/01/2022,34900,34900,-113,2894,1007171
21/01/2022,35300,35300,086,12844,4518200
20/01/2022,35000,35000,-113,208,73239
19/01/2022,35400,35400,-028,10500,3715688
18/01/2022,35500,35500,157,22170,78485462
17/01/2022,34950,34950,-014,21,7295
14/01/2022,35000,35000,057,11507,4018675
13/01/2022,34800,34800,-027,5220,18263547
12/01/2022,34895,34895,-001,5003,174518285
10/01/2022,34900,34900,001,10,3490
07/01/2022,34895,34895,263,15743,53989797
06/01/2022,34000,34000,180,537,1824009
05/01/2022,33400,33400,-147,60,20040
04/01/2022,33900,33900,000,0,0
03/01/2022,33900,33900,000,0,0
31/12/2021,33900,33900,059,16625,5622227
30/12/2021,33700,33700,-027,5000,1685000
29/12/2021,33790,33790,236,2000,675900
28/12/2021,33010,33010,-117,715,23780635
27/12/2021,33400,33400,001,3942,13102437
24/12/2021,33395,33395,-001,2200,734690
23/12/2021,33400,33400,-027,3800,1268480
22/12/2021,33490,33490,-003,1310,43241435
21/12/2021,33500,33500,060,824,27361445
20/12/2021,33300,33300,-148,327,108636
17/12/2021,33800,33800,000,0,0
16/12/2021,33800,33800,000,212,70827
15/12/2021,33800,33800,-029,283,956567
14/12/2021,33900,33900,000,0,0
13/12/2021,33900,33900,000,200,67800
10/12/2021,33900,33900,150,2423,820757
09/12/2021,33400,33400,030,805,268345
